time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,18,6,3,3
2026-04-21 00:00:00+00:00,9,4,6,2
2026-04-22 00:00:00+00:00,37,8,2,2
2026-04-23 00:00:00+00:00,68,19,5,1
2026-04-24 00:00:00+00:00,64,22,3,3
2026-04-25 00:00:00+00:00,79,26,1,1
2026-04-26 00:00:00+00:00,38,11,0,0
2026-04-27 00:00:00+00:00,22,9,1,1
2026-04-28 00:00:00+00:00,24,7,4,2
2026-04-29 00:00:00+00:00,31,8,5,3
2026-04-30 00:00:00+00:00,19,7,1,1
2026-05-01 00:00:00+00:00,27,7,2,1
2026-05-02 00:00:00+00:00,32,8,0,0
2026-05-03 00:00:00+00:00,33,10,0,0
